id,vendor_id,api_id,slug,display_name,display_order,description,capabilities,context_length,price_prompt_micro,price_completion_micro,price_tier,fallback_model_id,is_active,last_synced_at,created_at,updated_at,parameter_count_b,personality_traits,professional_traits,best_for
36,23,nvidia/nemotron-nano-9b-v2:free,nemotron-nano-9b-v2:free,Nemotron Nano 9B V2 (free),10,"NVIDIA-Nemotron-Nano-9B-v2 is a large language model (LLM) trained from scratch by NVIDIA, and designed as a unified model for both reasoning and non-reasoning tasks.","[""tools"",""tool_choice"",""reasoning""]",128000,0,0,0,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:58:50.929055+00,,,,
38,24,openai/gpt-5.2-chat,gpt-5.2-chat,GPT-5.2 Chat,0,"GPT-5.2 Chat (AKA Instant) is the fast, lightweight member of the 5.2 family, optimized for low-latency chat while retaining strong general intelligence.","[""tools"",""tool_choice""]",128000,1750000,14000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:58:45.766353+00,,,,
39,24,openai/gpt-5.2-pro,gpt-5.2-pro,GPT-5.2 Pro,10,"GPT-5.2 Pro is OpenAI’s most advanced model, offering major improvements in agentic coding and long context performance over GPT-5 Pro.","[""tools"",""tool_choice"",""reasoning""]",400000,21000000,168000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:58:43.374155+00,,,,
40,24,openai/gpt-5.2,gpt-5.2,GPT-5.2,20,"GPT-5.2 is the latest frontier-grade model in the GPT-5 series, offering stronger agentic and long context perfomance compared to GPT-5.1.","[""tools"",""tool_choice"",""reasoning""]",400000,1750000,14000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:58:40.656406+00,,,,
41,24,openai/gpt-5.1-codex-max,gpt-5.1-codex-max,GPT-5.1-Codex-Max,30,"GPT-5.1-Codex-Max is OpenAI’s latest agentic coding model, designed for long-running, high-context software development tasks.","[""tools"",""tool_choice"",""reasoning""]",400000,1250000,10000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:58:38.245587+00,,,,
42,24,openai/gpt-5.1,gpt-5.1,GPT-5.1,40,"GPT-5.1 is the latest frontier-grade model in the GPT-5 series, offering stronger general-purpose reasoning, improved instruction adherence, and a more natural conversational style compared to GPT-5.","[""tools"",""tool_choice"",""reasoning""]",400000,1250000,10000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:58:36.271169+00,,,,
43,24,openai/gpt-5.1-chat,gpt-5.1-chat,GPT-5.1 Chat,50,"GPT-5.1 Chat (AKA Instant is the fast, lightweight member of the 5.1 family, optimized for low-latency chat while retaining strong general intelligence.","[""tools"",""tool_choice""]",128000,1250000,10000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:58:33.979799+00,,,,
44,24,openai/gpt-5.1-codex,gpt-5.1-codex,GPT-5.1-Codex,60,GPT-5.1-Codex is a specialized version of GPT-5.1 optimized for software engineering and coding workflows.,"[""tools"",""tool_choice"",""reasoning""]",400000,1250000,10000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:58:31.666101+00,,,,
45,24,openai/gpt-5.1-codex-mini,gpt-5.1-codex-mini,GPT-5.1-Codex-Mini,70,GPT-5.1-Codex-Mini is a smaller and faster version of GPT-5.1-Codex,"[""tools"",""tool_choice"",""reasoning""]",400000,250000,2000000,2,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:58:28.45025+00,,,,
46,24,openai/gpt-5-image-mini,gpt-5-image-mini,GPT-5 Image Mini,80,"GPT-5 Image Mini combines OpenAI's advanced language capabilities, powered by [GPT-5 Mini](https://openrouter.ai/openai/gpt-5-mini), with GPT Image 1 Mini for efficient image generation.","[""tools"",""tool_choice"",""reasoning""]",400000,2500000,2000000,2,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:58:26.103105+00,,,,
47,24,openai/gpt-5-image,gpt-5-image,GPT-5 Image,90,[GPT-5](https://openrouter.ai/openai/gpt-5) Image combines OpenAI's GPT-5 model with state-of-the-art image generation capabilities.,"[""tools"",""tool_choice"",""reasoning""]",400000,10000000,10000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:58:23.661149+00,,,,
48,24,openai/o3-deep-research,o3-deep-research,o3 Deep Research,100,"o3-deep-research is OpenAI's advanced model for deep research, designed to tackle complex, multi-step research tasks.

Note: This model always uses the 'web_search' tool which adds additional cost.","[""tools"",""tool_choice"",""reasoning""]",200000,10000000,40000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:58:21.211644+00,,,,
49,24,openai/o4-mini-deep-research,o4-mini-deep-research,o4 Mini Deep Research,110,"o4-mini-deep-research is OpenAI's faster, more affordable deep research model—ideal for tackling complex, multi-step research tasks.

Note: This model always uses the 'web_search' tool which adds additional cost.","[""tools"",""tool_choice"",""reasoning""]",200000,2000000,8000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:58:18.77+00,,,,
50,24,openai/gpt-5-pro,gpt-5-pro,GPT-5 Pro,120,"GPT-5 Pro is OpenAI’s most advanced model, offering major improvements in reasoning, code quality, and user experience.","[""tools"",""tool_choice"",""reasoning""]",400000,15000000,120000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:58:15.98643+00,,,,
51,24,openai/gpt-5-codex,gpt-5-codex,GPT-5 Codex,130,GPT-5-Codex is a specialized version of GPT-5 optimized for software engineering and coding workflows.,"[""tools"",""tool_choice"",""reasoning""]",400000,1250000,10000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:58:11.986014+00,,,,
52,24,openai/gpt-4o-audio-preview,gpt-4o-audio-preview,GPT-4o Audio,140,The gpt-4o-audio-preview model adds support for audio inputs as prompts.,"[""tools"",""tool_choice""]",128000,2500000,10000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:58:09.06171+00,,,,
54,24,openai/gpt-5,gpt-5,GPT-5,160,"GPT-5 is OpenAI’s most advanced model, offering major improvements in reasoning, code quality, and user experience.","[""tools"",""tool_choice"",""reasoning""]",400000,1250000,10000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:58:04.567983+00,,,,
55,24,openai/gpt-5-mini,gpt-5-mini,GPT-5 Mini,170,"GPT-5 Mini is a compact version of GPT-5, designed to handle lighter-weight reasoning tasks.","[""tools"",""tool_choice"",""reasoning""]",400000,250000,2000000,2,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:58:02.356925+00,,,,
56,24,openai/gpt-5-nano,gpt-5-nano,GPT-5 Nano,180,"GPT-5-Nano is the smallest and fastest variant in the GPT-5 system, optimized for developer tools, rapid interactions, and ultra-low latency environments.","[""tools"",""tool_choice"",""reasoning""]",400000,50000,400000,1,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:58:00.706556+00,,,,
57,24,openai/gpt-oss-120b,gpt-oss-120b,gpt-oss-120b,190,"gpt-oss-120b is an open-weight, 117B-parameter Mixture-of-Experts (MoE) language model from OpenAI designed for high-reasoning, agentic, and general-purpose production use cases.","[""tools"",""tool_choice"",""reasoning""]",131072,20000,100000,1,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:57:57.637785+00,,,,
58,24,openai/gpt-oss-120b:exacto,gpt-oss-120b:exacto,gpt-oss-120b (exacto),200,"gpt-oss-120b is an open-weight, 117B-parameter Mixture-of-Experts (MoE) language model from OpenAI designed for high-reasoning, agentic, and general-purpose production use cases.","[""tools"",""tool_choice"",""reasoning""]",131072,39000,190000,1,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:57:54.814542+00,,,,
59,24,openai/gpt-oss-20b,gpt-oss-20b,gpt-oss-20b,210,gpt-oss-20b is an open-weight 21B parameter model released by OpenAI under the Apache 2.0 license.,"[""tools"",""tool_choice"",""reasoning""]",131072,16000,60000,1,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:57:52.849549+00,,,,
60,24,openai/o3-pro,o3-pro,o3 Pro,220,The o-series of models are trained with reinforcement learning to think before they answer and perform complex reasoning.,"[""tools"",""tool_choice"",""reasoning""]",200000,20000000,80000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:57:49.42269+00,,,,
61,24,openai/codex-mini,codex-mini,Codex Mini,230,codex-mini-latest is a fine-tuned version of o4-mini specifically for use in Codex CLI.,"[""tools"",""tool_choice"",""reasoning""]",200000,1500000,6000000,2,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:57:46.949797+00,,,,
62,24,openai/o4-mini-high,o4-mini-high,o4 Mini High,240,OpenAI o4-mini-high is the same model as [o4-mini](/openai/o4-mini) with reasoning_effort set to high.,"[""tools"",""tool_choice"",""reasoning""]",200000,1100000,4400000,2,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:57:43.028056+00,,,,
63,24,openai/o3,o3,o3,250,o3 is a well-rounded and powerful model across domains.,"[""tools"",""tool_choice"",""reasoning""]",200000,2000000,8000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:57:40.94857+00,,,,
64,24,openai/o4-mini,o4-mini,o4 Mini,260,"OpenAI o4-mini is a compact reasoning model in the o-series, optimized for fast, cost-efficient performance while retaining strong multimodal and agentic capabilities.","[""tools"",""tool_choice"",""reasoning""]",200000,1100000,4400000,2,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:57:38.8882+00,,,,
65,24,openai/gpt-4.1,gpt-4.1,GPT-4.1,270,"GPT-4.1 is a flagship large language model optimized for advanced instruction following, real-world software engineering, and long-context reasoning.","[""tools"",""tool_choice""]",1047576,2000000,8000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:57:36.489532+00,,,,
66,24,openai/gpt-4.1-mini,gpt-4.1-mini,GPT-4.1 Mini,280,GPT-4.1 Mini is a mid-sized model delivering performance competitive with GPT-4o at substantially lower latency and cost.,"[""tools"",""tool_choice""]",1047576,400000,1600000,2,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:57:33.750175+00,,,,
67,24,openai/gpt-4.1-nano,gpt-4.1-nano,GPT-4.1 Nano,290,"For tasks that demand low latency, GPT‑4.1 nano is the fastest and cheapest model in the GPT-4.1 series.","[""tools"",""tool_choice""]",1047576,100000,400000,1,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:57:27.21618+00,,,,
71,24,openai/o3-mini-high,o3-mini-high,o3 Mini High,330,OpenAI o3-mini-high is the same model as [o3-mini](/openai/o3-mini) with reasoning_effort set to high.,"[""tools"",""tool_choice""]",200000,1100000,4400000,2,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:57:17.762603+00,,,,
72,24,openai/o3-mini,o3-mini,o3 Mini,340,"OpenAI o3-mini is a cost-efficient language model optimized for STEM reasoning tasks, particularly excelling in science, mathematics, and coding.

This model supports the `reasoning_effort` parameter, which can be set to ""high"", ""medium"", or ""low"" to control the thinking time of the model.","[""tools"",""tool_choice""]",200000,1100000,4400000,2,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:57:15.098252+00,,,,
73,24,openai/o1,o1,o1,350,"The latest and strongest model family from OpenAI, o1 is designed to spend more time thinking before responding.","[""tools"",""tool_choice""]",200000,15000000,60000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:57:11.932908+00,,,,
74,24,openai/gpt-4o-2024-11-20,gpt-4o-2024-11-20,GPT-4o (2024-11-20),360,"The 2024-11-20 version of GPT-4o offers a leveled-up creative writing ability with more natural, engaging, and tailored writing to improve relevance & readability.","[""tools"",""tool_choice"",""web_search""]",128000,2500000,10000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:57:09.672714+00,,,,
76,24,openai/gpt-4o-2024-08-06,gpt-4o-2024-08-06,GPT-4o (2024-08-06),380,"The 2024-08-06 version of GPT-4o offers improved performance in structured outputs, with the ability to supply a JSON schema in the respone_format.","[""tools"",""tool_choice"",""web_search""]",128000,2500000,10000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:57:04.274769+00,,,,
77,24,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,GPT-4o-mini (2024-07-18),390,"GPT-4o mini is OpenAI's newest model after [GPT-4 Omni](/models/openai/gpt-4o), supporting both text and image inputs with text outputs.

As their most advanced small model, it is many multiples more affordable than other recent frontier models, and more than 60% cheaper than [GPT-3.5 Turbo](/models/openai/gpt-3.5-turbo).","[""tools"",""tool_choice"",""web_search""]",128000,150000,600000,1,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:57:00.570004+00,,,,
78,24,openai/gpt-4o-mini,gpt-4o-mini,GPT-4o-mini,400,"GPT-4o mini is OpenAI's newest model after [GPT-4 Omni](/models/openai/gpt-4o), supporting both text and image inputs with text outputs.

As their most advanced small model, it is many multiples more affordable than other recent frontier models, and more than 60% cheaper than [GPT-3.5 Turbo](/models/openai/gpt-3.5-turbo).","[""tools"",""tool_choice"",""web_search""]",128000,150000,600000,1,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:56:57.958848+00,,,,
79,24,openai/gpt-4o-2024-05-13,gpt-4o-2024-05-13,GPT-4o (2024-05-13),410,"GPT-4o (""o"" for ""omni"") is OpenAI's latest AI model, supporting both text and image inputs with text outputs.","[""tools"",""tool_choice"",""web_search""]",128000,5000000,15000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:56:53.876709+00,,,,
80,24,openai/gpt-4o,gpt-4o,GPT-4o,420,"GPT-4o (""o"" for ""omni"") is OpenAI's latest AI model, supporting both text and image inputs with text outputs.","[""tools"",""tool_choice"",""web_search""]",128000,2500000,10000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:56:50.38186+00,,,,
81,24,openai/gpt-4o:extended,gpt-4o:extended,GPT-4o (extended),430,"GPT-4o (""o"" for ""omni"") is OpenAI's latest AI model, supporting both text and image inputs with text outputs.","[""tools"",""tool_choice"",""web_search""]",128000,6000000,18000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:56:48.303575+00,,,,
82,24,openai/gpt-4-turbo,gpt-4-turbo,GPT-4 Turbo,440,The latest GPT-4 Turbo model with vision capabilities.,"[""tools"",""tool_choice""]",128000,10000000,30000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:56:46.242144+00,,,,
83,24,openai/gpt-3.5-turbo-0613,gpt-3.5-turbo-0613,GPT-3.5 Turbo (older v0613),450,GPT-3.5 Turbo is OpenAI's fastest model.,"[""tools"",""tool_choice""]",4095,1000000,2000000,2,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:56:44.09316+00,,,,
84,24,openai/gpt-4-turbo-preview,gpt-4-turbo-preview,GPT-4 Turbo Preview,460,"The preview GPT-4 model with improved instruction following, JSON mode, reproducible outputs, parallel function calling, and more.","[""tools"",""tool_choice""]",128000,10000000,30000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:56:41.755436+00,,,,
85,24,openai/gpt-4-1106-preview,gpt-4-1106-preview,GPT-4 Turbo (older v1106),470,The latest GPT-4 Turbo model with vision capabilities.,"[""tools"",""tool_choice""]",128000,10000000,30000000,3,,true,2026-01-07 07:07:05.199715+00,2026-01-07 07:07:05.199715+00,2026-01-07 07:56:38.871987+00,,,,
